The antibiotic may have destroyed bacteria causing my sinus infection.  But it may also have been caused by a virus, so its hard to say.	Some back pain, some nauseau.	Took the antibiotics for 14 days. Sinus infection was gone after the 6th day.
this drug works very well to control my heart from racing and fluttering. i have had a echo cardiogram and they say it is nothing serious but it really bothers me and makes me shaky and queasy. it was nice to get relief from this drug.	when i first took it it seemed to make me depressed but after a while that seemed to go away. other than that i have had no side effects.	the doctor prescribed the drug and i take 1/2 tablet a day which would be 25 mg.
The number of migraines were reduced from 20+ a month to 12 or even less.  There have been some months when I have had only 5 or less migraines.  More importantly, the intensity of the migraines is considerably reduced.  On a pain scale of 1-10, I would have 12 or 15+ pain, that no amount of medication helped, and they would last for 3 to 5 days.  Now, when I do get a migraine, it's usually at a 2 or 3 pain level, and I rarely need to take more than 1 Relpax for relief.	One rather odd side effect, which others on the drug have commented upon, is that you forget words.  I've always been very articulate, and it can be frustrating to be in the middle of a conversation, or when I was doing training sessions, to suddenly go blank and be completely unable to remember a word I've used all my life.  Also, at one point I decided to go off the medication in the vain hope I could manage the migraines without drugs.  Even coming off the Topamax over a period of months, I gained 20 pounds.	I started on the usual dosage of 25mg in the morning and evening, then after 2 weeks increased it to 50mg twice a day.  Most people stay at this level, however, I seem to have a very high metablisim when it comes to medication, and anything I've taken for migraines always has to be increased beyond normal dosage in order to work.  Therefore, my neurologist increased the dosage to 200 mg a day, and after about a year when that no longer worked, we went to 300mg a day, which I know is high for used in migraine treatment. However, I've been on almost every migraine medication there is over the years, and there is nothing else that works.  I'm hoping for more breakthroughs in migraine research, before I end up at 400mg a day and forget half my vocabulary!
I was able to relax more than usual, and my mind did not feel like a race car circling a track at 150 miles per hour.  It became easier to focus on the task at hand without worrying about what was on my to-do list and, due to an eating disorder, how much I had eaten or was going to eat that day.	I found it slightly more difficult to drive while under the influence of the drug, and oftentimes I caught myself spacing out.  Sun exposure seemed to strengthen the drug's effect, and being in the sun made me lethargic and sometimes even dizzy.  Overall, I always felt as though I was on an irregular level of consciousness, and not in the same mental place as surrounding people not on the drug.	I was told to take one or 1/2 tablet approximately 30 minutes before undergoing an event that I predicted would inflict anxiety.  My stress was effectively reduced during family meals and going out to restaurants.  However, I took 1/2 tablet before receiving a vaccination shot and, although I did not pass out as usual, I still became lightheaded and dizzy as a result of the needle.  Perhaps a whole tablet would have eliminated these effects.  In the end, I couldn't get used to feeling like I was on drugs while trying to work, drive, etc. so I decided to not refill my prescription and began seeing my therapist more often instead.
My skin has become dramatically clearer and it has a fresh glow that I am very happy with.  My skin is smoother, finer, and the darker areas on my forehead (related to sun exposure) have faded almost completely.	Mild redness in the first three or four weeks, especially after exfoliating in the morning (which is my habit, not something recommended by my dermatologist though I have not asked).  It is a lot more urgent that I get moisturizer on after washing my face in the morning than it used to be before starting this treatment.  My face feels very tight and uncomfortable until I get the moisturizer on.	Before the treatment, I had noticed my skin was becoming dull and a bit leathery, and some wrinkles were setting in to my forehead. This is all substantially improved, and I'm so glad I shelled out for this cream.
My dosage is NOT the standard treatment of 300 mg daily, however at the 100 mg daily dose I get some benefits, including decreased irritability and appetite control, without side effects.	None.	I have been on this medication, at this dosage for a few years now, and it works great. No side effects at the 100 mg per day dose but I still get the benefits of help with mood swings and appetite control.
Clearer thinking; improved outlook and energy level.	I have had a persistent cough since taking this drug.	Taken first thing with glass of water and no food for 30 minutes. Doctor did not see the connection between cough and Synthroid,(chest Xray came back fine) however as it did bother my stomach briefly at time of dosing, I decided it might be affecting the stomach lining. Recently towards late afternoon or before retiring will take Tagamet or some generic stomach med. I DO NOT experience heartburn, however, this routine seems to reduce the embarrassing cough significantly. This was my own resolution after trying many allergy medicines once or twice which did not stop the cough at all. Was also given sample of Advair which I did not use due to negative side effects I read about on internet before using. I am seeking a more natural and effective solution to replace the Synthroid with something that will treat source of low thyroid as well as the symptoms.
much improved sleep without waking in the middle of the night.	none really.  Maybe groggy but not terribly.	Took 1 pill at bedtime
relief of insomnia	grogginess in the morning	50mg nightly
Helped with sinus congestion and sneezing, and allowed me to be able to breathe better throught the night and wake up less stuffy.	Mild sinus headache at times depending on how bad my allergies were.	This nasal spray helped me control my allergies and sinus problems for the time I was taking it, however as soon as I stopped taking it all of my symptoms came back immediately. I don't think this drug is a "quick fix" that you can use for a few days and then stop...I think it is something you have to take continuously to get the full benefits.
Being able to focus, weight loss, more energy, staying on task, more relaxed once it kicked in or wore off.  Slowed down my thought process, anxiety went done, not over thinking and less of a worrier.  No explosive episodes with family, stablized my moods.  Work non stop, focused on tasks, can sit and stay still, read books for longer then 5 minutes.  If you don't have ADHD and take this drug it will make you a hyperactive spaz and will have the oppositve effects.	Lack of sleep, this is why I was perscribed lunesta 3mg per night. Really happy and more talkative, have to watch what I say.  Weight loss, loss of appetite, headaches from not eating, shakey, mild dizzyness, blurred vision, forgetfulness, moody if I missed a dose or it wore off, can become addicting, temporary fix to a permanent problem. Mild run around with getting the perscription filled because it is classified as a c2.	Grew up poor so I didn't have insurance or a regular doctor to diagnose me.  Lived with bipolar, adhd and mild OCD my entire life.  Now that I have found out about all of my issues, I have been working with a good doctor who can "fix me."  I never been this clear headed and happy since I was a child.  Having these diseases without medication can ruin your life, your relationships, work, education, marriage etc.  I can only go from this day forward and I plan on making it the best life possible.  I will have to be on medication for the rest of my life.
We could not identify any benefits at all.  The behavior and memory problems remained unchanged or worsened over time.  Anxiety continued to increase and the dementia progressed systematically.  Disorientation continued to increase and the patient became more and more difficult to manage.  It appeared that irritability increased and the patient became more agitated more easily.	There was some indication that there was at least some increase nausa as well as some infrequent but increased bouts of diarrhea.  There were a few episodes of vomiting, but it might be attributed to other factors for this one side effect.  There was definitely increased insomnia as well as loss of appetite, but it can not be definitively stated that the drug alone contributed to these although it did occur after the drug was begun.	The patient was given a daily dose.  After transfer to a care facility, the regimentation in taking the dose was firmly set in place.  Staff medical personnel on site did not observe any benefits, and as a result, after about 6 months the prescription was terminated. During the time the drug was used, there was a patient review every other week to ascertain whether there seemed to be any improvement in the patient.  Memory tests were administered and one-on-one interviews were executed by medical personnel.  The results of the memory testing showed no net improvement nor was there any identifiable changes that might be considered positive.  Ultimately her psychiatrist in consultation with the family decided that the drug did not seem to provide any net gain.
This medication greatly helped me to sleep well.  I felt more restored after a nights sleep.  I no longer had trouble going to sleep and no trouble with waking up in the middle of the night, and not being able to get back to sleep.  Unfortunately this medication did not seem to help with the Fibromyalgia very much.	It put a damper on my libido.  I wasn't much interested in having relations with my husband.  He was not too pleased with this.  I wasn't happy with this side effect either since it is not very good for a marital relationship.	I was to take this medication once a day.  At one time the dosage was increased to 50mg but with the decrease in my libido and too much grogginess in the morning my dosage was reduced to 25mg.  This seemed to do well in helping me to sleep better.
The treatment benefits are long term.  There is no immediate benefit to be seen.  My doctor advised me that a follow-up dexa scan should be performed in two years to determine if the treatment is effective in reversing or at least arresting the osteopenia.  The drug is supposed to reduce risk of breast cancer.	I experienced some mild hot flashes during the month I took the drug.  These hot flashes were not of the intensity that I experienced when I first started to experience menopause.  I did have more ackiness in my bones and joints when I first starting taking it but these went away after the first few weeks.	I was given one month's free sample of Evista by my doctor.  I took one 60 mg pill each morning with 600 mg Calcium with Vitamin D as directed by my doctor.  I also walk 30 minutes daily on my treadmill, again at my Dr.'s direction.  I refilled the presciption at a local discount "member's only" store and paid $106 for one month of the drug. I have since purchased the drug on line for about half the cost.  Once I receive it, I will resume taking the drug.  Looks like I'll have about a two week vacation.  Biggest concerns about taking this drug are blood clots and stroke.  You are not allowed to smoke and alcohol consumption needs to be kept to a low level because it's not good for the bones. Other lifestlye issues related to healthy bones are followed.
Mood was uplifted and dosage was easy (once daily). convenient dosage form	"dizziness, drowsiness, decreased sex drive

The full effect took a while to build up"	Patient mood was extremely low when treatment was started. Initial dose was 5mg, increasing to 10mg after 1 week. Started taking in the morning but caused too much drowsiness therefore changed to take in the evening
I had morning-to-night headaches for two weeks prior to taking the medication. My doctor ascertained that these were most likely tension headaches. The morning after taking the first dose, I had no headache, and I remained headache-free for 2 days.  Now, on the third day, the headache is returning, so I plan to take another dose tonight.	All day on the day after taking the medication, I had symptoms that resembled low blood sugar.  I was very jittery after a small amount of caffeine (less than I normally drink).  All day I had this unpleasant effect.  But it was not as bad as having a headache all day.	Take 1 tablet at bedtime, if needed, for headache.
I presented with General Anxiety Disorder and Aggitated Depression.  I was unfocused, angry, anxious and had racing thoughts.  Wellbutrin XL helped with depression, unfocused thinking and racing thoughts.  I was more focused during the day and was able to complete tasks.  It also helped so that I would not fly off the handle and it helped me stay out of bed.  In a nutshell, it helped me with energy.  A main help was with the sexual side effects of Lexapro, a seratonin reuptake inhibitor.  Lexapro would dimish my libido and make it difficult to reach orgasm.  Wellbutrin really helped to conteract these side effects and gave me even energy during the day.	The only side effects from Wellbutrin is that sometimes I had difficulty getting to sleep if I took the dose later in the day (past noon).	The treatment includes Wellbutrin XL 300 mg.  This is a time released tablet and delivers medication during the day.  In addition, I would take Lexapro 5 to 10 mg for the aggitation and racing thoughts.  This was really helpful with anger and outbursts.  If I had trouble sleeping I would take Trazadone 10 mg at night, and if I did not have it I would take Simply Sleep or Tylenol PM, but only one tablet.  Sometimes I would cut the Trazadone in half for a 5 mg dose.  I have had low grade anxiety and depression for many years.  I have been menopausal for 4 years.  I have a lot of stress in my life with two teenage boys and we live in a high end community outside D.C. with cut throat competition on every corner.
THe zomig nasal spray is generally very effective in curing migraine. 80% of the time the pain is 75% or more gone within an hour. Another 15% of the time it takes up to 2 hours.  5% of the time the pain is only lessen.  However lately some of the single dose units do not discharge the medication properly. Instead of a spray, you get a drop or two.  When this happens, the frequency of the pain not going away by at least 75% goes up. A couple of times it seemed virtually ineffective.  If the quality control doesn't improve, I may have to switch to a different Triptan.	Generally I fell a little dull or numb in the head, very slightly dizzy. Rarely there is a little tightness in the chest.	Since insurance only covers 2 per week and the doctor doesn't want me to take it too ofter for fear of rebound headaches, I generally wait until the headache is fairly bad and is interfering with my ability to work.  I will frequently take Tramadol, ibuprofen, naproxen, or acetophenamin earlier. These work maybe 25% of the time, or take the pain down enough so that I can avoid taking the tripan.
The treatmen was very effective as it helped keep pores clean due to exfoliation. the acne deminished after regular use for around 3 weeks, although it seemed to increase at first. This was expected according to directions.	the only side effects were a little irritability of the skin around the nose and eyes. Maybe because some product gets trapped in the deeper wirinkles in that area, so must be careful to distribute evenly.	I am very delighted with the medecine, to the point where I feel addicted to it and don't ever want to go without it again. My skin feels much smoother, with almost no blemishes, except duting PMS times. I also feel like I look younger and healthier due to renuwed skin.
blood pressure medicine currently controling BP well. thyroid medication keeps TSH level at optimum level. No side effects from either medication. Very low dose of both	no side effects that were at all bothersome. BP medicine makes me sleepy so I take at night. No side effects that I can tell from thyroid medicine	I take BP medicine 1 time per day each day. I take at night due to issues with drowsiness. Thyroid medicine is taken 1 time per day in the morning. MD recommended Synthroid rather than generic form
"If there were benefits, they were minimal. The only thing I noticed was how dry my skin became

from use of Metrogel."	Dry skin.	"I was prescribed Metrogel for my moderate case of Rosacia. I took the prescription for almost

9 months. I applied a thin layer daily after washing my face in the evenings. After 9 months I

expected to see a slight difference in appearance of my skin, but did not. The only noticeable

affect I saw was how dry my skin became. And with it being a very expensive product, I 

was very disappointed."
Very effective reduction in pain from an injury, and later when having vulvar vestibulitis flare ups.	When I took it twice a day for a week for an injury, my stomach got upset.  Taking one 500mg dose daily just a few days a week I only notice a very subtle spaciness, but I'm very drug sensitive.	500mg twice a day for injuries....then 500mg here and there for spot pain reduction.  I used after deep physical therapy work that may make my pain worse - seemed pretty effective.
Muscle pain from fibromyalgia was reduced; able to more actively participate in life activities.	fatigue, decreased mental acuity, weight gain.	Once I started taking Lyrica, it took a couple of weeks to gain full advantage of its benefits. Originally, I has been places on a dose of 200mg three times a day, which I believe what was recommended for fibromyalgia. The resultant relief of pain was pretty good. However, I found myself very tired and mentally dull. I switched doctors and was given the reduced dosage of 75mg. twice a day. Although my pain relief results have not been as good, I do still have some relief while at the same time being able to be more alert and functional.
This drug literally changed my life and I wish I had started taking it earlier in life.  So many problems would have been solved for me. I was never happy, cryed often and had no self worth at all.  I was also very anxious and uncomfortable around people and avoided many social situations because of this.  In short I was not enjoying anything at all about life or work!  When I started taking Zoloft (under my doctor' care) it was like a miracle for me.  I went back to school!  I pursued a new career (my old job was nothing other than a hiding place for me) I blossomed!  I honestly do not know if this drug has the same effect on everyone but I recommend trying it. I should be the poster child for Zoloft.  I am still taking it and may be for the rest of my life.  As for people who complain about anti-depressants, there is only one thing to say to them, They obviously have never known the debilitating effects of depression!	No libido	I started taking 50 mg. of Zoloft for about a month while my doctor monitored me.  And then he gradually increased the dosage.
The treatment benefit of the pharmaceutical drug named Biaxin included assistance with the eradication of the cell wall deficient bacteria named Borrelia Burgdorferi. In combination with the Flagyl, which breaks down the biofilm that the Borrelia bacteria protect themselves from hostile environments including exposure to antibiotics, the Biaxin can kill the bacteria when they emerge from their biofilms which is weakened by Flagyl.	I only experienced one side effect from this medication which I will mention as follows. The side effect that experienced throughout the course of treatment was the persuasive bitter taste in the mouth. Other than that single side effect I did not experience any other side effects that I am aware of.	The treatment details using the combination of Biaxin and Flagyl together was to assist in the eradication of the cell wall deficient bacteria called Borrelia Burgdorferi. The Flagyl was prescribed to be taken in a five hundred milligram dose twice a day with food as was the same for Biaxin.
reduce elevated pressure in the eyes and relieve hypertension.	Noticable growth of eyelashes, becomes thicker and lusher because of the eye drops.	The drug prevents elevated IOP (intraocular pressure) the higher the IOP, the greater the likelihood of optic nerve damage, which can lead to vision loss and potential blindness.
completely ended panic attacks,most sweating,most blushing,much discomfort.	more anxiety at first for about 3 weeks. some headaches,nausea	I started the medicine 8-10 years ago and took the medicine religously to begin with. Took about 4 weeks to really make a difference. However, did notice change after only a couple weeks. I slack off many times and after a day or two of missed pills I notice dizziness and mild headache plus some nausea. Not good to do, but it happens. After being on the medicine as many years as I have, I don't think it is as effective as others may be, but I have tried many...Prozac,Zoloft and numerous others I don't remember the name of and nothing worked as well for me as Paxil..Another note is that anxiety runs in my family and a few aunts and uncles in my family have had the same good luck with Paxil. I often wonder since we are related if it treats something in our brain the same as it seems to work for this family??? Something to think about if you know someone else in your family that suffers from depression or other mental illness.
Depending on how severe the case is the dermatitis clears up in one to two weeks. The overall appearance of my skin improves as well as it improves any hormone or stress related 'spots'. (It is also used as adjunctive therapy to treat acne).	Dry skin and slight skin pigmentation.	Initially 100mg twice daily followed by 50mg twice daily
no more monthly periods	slight spotting for more than 7 days each cycle	Since Nov 2007 I have been taking Lybrel to avoid my period. According to the manufacturer it is normal to have spotting for the first 6-12 month. I had many days of spotting until this July- so for 8 month. Since this August I had no more bleeding.
Treatment was for cystic acne. The dermatologist prescribed erythomyicin for treatment. Saw the dermatologist biweekly and the dermatologist would give me a check over. The dermatologist then would ask if I was doing anything different, and then would proceed to give me a new prescription for the erythromycin.	The erthyromycin was prescribed for cystic acne. The erthyromycin is an orally administrated drug for the treatment of bacterial infections. Gastrointestinal disturbances, such as diarrhea, nausea, abdominal pain, and vomiting, are fairly common.  Although I did not have any vomiting reactions the other disturbances did occur. The treatment with the erthyromycin did not relieve the cystic acne. I was taking the erythromycin three times a day for almost one year and there were no noticeable results.	The dermatologist would see me every other week for and check my cystic acne. The medical tech. person would first check me and ask questions regarding any changes in what I was doing and how the medication was working and if there were any side effects.  The dermatologist would then come into the room and check my cystic acne. The dermatologist would then ask if I was doing anything different and then would ask if I was taking my medication and ask if I was on any other medications.  He wouild ask if there were any bad side effects to the medication and then would give me another prescription for another round of medication treatment. This would go on for about one year of visits and prescriptions.  There was not any change in the cystic acne of any great degree.
Went from approx. 17 migraine days a month to approx. 4 migraine days a month while taking topamax and erinn.  (Before adding erinn, was down to approx. 8 migraine days a month.)  Topamax seemed to greatly lessen the hypersensitivity of my brain to overreact to triggers such as changes in altitude, barometric pressures, humidity levels, environmental triggers such as smoke, strong smells, loud noises, and food triggers such as dark chocolate.  Before topamax all of these things would cause migraines to start very easily.  After settling in on topamax these things didn't bother me like they used to.	When first starting the drug, diet soda tasted metallic and downright horrible.  There was definitely an adjustment period of getting used to the drug and increasing the dosage in small increments was important.  I could feel changes in my brain that are hard to describe.  Almost like the top was a little bit "lifted".  It was worth getting through this period for the results, though.  They definitely went away as my body got accustomed to the drug.  Once that happened, the migraines lessened and one pleasant side effect was that I didn't snack as often.  No "mindless munching."  I lost some weight without trying.  I felt that it was difficult to retrieve thoughts or find the right word at times.  I found it would take a few seconds longer to put my thoughts into words.  Felt a little "spacey."  As I mentioned before, I got through it after getting used to the drug.  It took several weeks but after having 17 migraine days a month and going down to 8 it was worth it.	Started at 25mg 2x a day for several days and started titrating up by adding 25mg to the evening dose every 3-4 days, depending on how I felt.  Got up to 100 mg. a day for the first year.  After moving and talking to my new doctor, she suggested increasing the dose to see if I could have less migraines than the 10-12 I was having so I titrated up to 200mg a day and my migraines went down to 8 a month.
There weren't any significant benefits.	I felt groggy, sick to my stomach and had a general "heavy" feeling all of the time. Also gave me a mild headache	Only required to take it once a day with meals
Not so emotional a week before and during my menstrual cycle. Relieved thoughts of suicide as well as given me more energy through that rough patch of my PMS cycle. Feelings have also calmed down with my loved ones. As I can be more relaxed as my anxiety level feels like it's at it's all time low.	I can only sleep a couple of hours a night while taking the pill. A day after the last pill is taken, I have a headache for about a couple of days.	Two weeks out of the month I take 20 mg, every morning. I start on a Sunday a week before my menstrual cycle. Finish up the months' treatment 14 days later. ( which ends on a Saturday )
I did not see any significant benefits for treating the histamine reaction- which was due to a bug bite and subsequent allergic response.  Sensations and symptoms included inflammation, redness, swelling to the point of limited mobility (bite was on hand) and itching, which the Xyzal did not effectively treat; however, the xyzal appeared to help with the seasonal allergies related to hay fever.  For the topical condition, diphenhydramine was preferred.	Drowsiness.  Slight dizziness, but not remarkable.  I also thought that the drug's slow-release effect may not be as modulated as one would hope since the drowsiness and related symptoms came in spurts rather than in a constant flow, if you know what i mean.  I did not find that caffeine was helpful to promote alertness and I was nervous about driving while taking this particular medication.	I took the every evening every 24 hours for 14 days, according to my doctor's instructions.  He did not want me to "mix antihistamines" and even though I thought Benadryl might be more effective, I didn't want a drug that would make me that sleepy and also that I would have to take every 6 hours, as opposed to every 24 hours.  I would have prefferred a Xyzal dose that i could take every 12 hours, and then i could use benadryl at night without worrying about mixing anti-histamines, but since this was not possible I just used the Xyzal plus topical antihistamine creme on site of bug bite.
the first week it did help supress my cravings, but my stomache felt hungry. as soon as i did eat, i would realize how hungry i really was. i lost 4 lbs in my first week. second week, no hunger pains and still no cravings. i'm on my third week and i've lost 7 lbs.	mild insomnia. mild headaches only occasionally. a major one for me is i get dizzy when i stand up. oh, and more sweating with physical activity.	i take it in the morning. i COULD go about 700 calories a day with this pill but to make sure my metabolism doesn't get messed up, i try to eat about 1200. and i'm still losing weight. i would reccomend this to younger users, but over the age of 18 only.
relief from burning associated with reflux	slight nausea during the first 24 hours.	Part of my treatment plan was to undergo an endoscopy to find out what the problem was initially.  The doctor who performed the endoscopy prescribed the Zantac.  In the first 24 hour period I felt no differently, but the second day I started to feel alot better.  At the end of the two weeks period of taking 2x tabs per day I felt completely back to normal.  I ceased taking the Zantac after my follow up visit with the doctor but was advised to keep some handy for future use.
I took Celexa for approximately 6 months and I found it to be totally ineffective. This was not surprising considering I have taken several other psychotropic (SSRI's) drugs, with the same ineffectiveness. I'm finally thinking mabye I don't have a serotonin deficiency, and mabye there are other issues. Going back to dr. to see if there may be another course of action.	sexual side effects, yawning, dry mouth	40mg. daily for 6 months.
There has been a noticeable reduction in acne. Overall my skin is much smoother. I have sensitive skin and rosacea. It has not exasperated my rosacea like other tretinoin treatments have. I have been very happy with it. It's the best drug I've used for acne so far.	My sensitive skin, will still peel regardless but especially if irritated by winter dryness or rubbing against my partner's beard. I have peeled with every tretinoin product I've tried and this is the least bothersome. I am also more sensitive to the sun. Unlike other drugs, I have not ever cracked or felt discomfort unless I get excesssive sun or dryness. I don't use it every day in the winter.	I spread this on my entire face every night on clean skin. In the winter, I follow with a moisturizer. In the morning, I use metrogel daily. When I have more of a breakout - and it's hard for me to sometimes differentiate acne from rosacea - I will also take Oracea for a week. If I know that I will be spending quite a bit of time outside then I will take a break from it.
About two years ago Lexapro had totally stopped working and I was trying many different drugs from pristiq, welbutrin, cymbalta, none of which worked. After a few days on welbutrin I experienced the worst panic attack ever. I thought the end was near. I had had them in the past, but nothing like this. It probably lasted only about 5 minutes but seemed an eternity. The rest of that particular day I was completely exhausted. That was a Sunday and the following day my family doctor stopped all my meds and switched me over to clonazepam and zoloft. It's been a year now and I haven't felt this well in a long time. Minimal side effects.	Maybe a little bit of drowsiness from time to time, but other than that nothing else.	Just visit the doctor from time to time and take klonopin twice a day and my 200 mgs of zoloft once a day.
reduced severity of hot flashes, decreased vaginal dryness	increase in migraines	Daily use of drug was generally effective in reducing severity of hot flashes, but at 1.5 mg I still had them.  However, I didn't want to increase the possibility of more severe side effects, so I was willing to put up with some discomfort.  I am concerned about continuing to take it for years.
lower blood pressure	In the beginning headaches, now my blood pressure is much lower and I don't spend most of the day running to the bathroom like I took a diuretic.	When I started taking paxil, I was severely depressed.  When I woke up in the morning, I would sit on the side of the bed for around 30 minutes before I could finally get up and start getting ready for work and then I would still cry until around 12 noon.  After taking paxil for about 3 days, I had a job as a courier and I caught myself singing and dancing to a song on the radio.  I couldn't believe it, I had not done that for about 5 months.  Also there was the great side effect of appetite loss, especially at first, where I had actually forgotten to eat all day on several occasions.  I still take paxil today, and I my emotional state is more balanced. I am also happy with the amlodopine.
I'm using tretinoin to reduce the wrinkles around my eyes. So far I am happy with it- although even as an anti wrinkle treatment improves my skin- I continue to age- so it's an uphill battle. I do my best to take care of myself and had heard that this might help battle the little signs of age on my face. So far I'm pretty happy- nothing drastic, but hopefully continued use will help me to age gracefully and not drastically.	Definitely some peeling in the first 2-4 weeks especially around my chin. I also noticed that applying other products- like facial wash and sunscreen had a slight burning during the earlier stages.	I wash my face in the evening, let it dry, and apply the cream. It recommended that I wait 20-30 minutes after washing but I generally don't have that kind of time- I think that's to avoid irritation which isn't a problem anyway.
Significant reduction in perseveration; increased flexibility; reduction in obsessions such as the weather leading to ability to cope better with daily events, unexpected changes, disappointments etc.and increased ability to interact more appropriately socially	Some initial impact to sleep patterns, some weight gain	Initial dosage of 20 mgs, increased gradually to 60 mgs and maintained at that level have helped significantly with obsessions and impact of adolescence.
Reduced anxiety, less irritability, levelized moods.	Odd sensation in the head, somnolence, teeth grinding.	Started at 75 mg/day and increased over 3-4 months to 300 mg/day. Continued improvement and reduction of symptoms as dosage increased. Renewed period of side effects with each increase, lasting not more that 2-3 days. Also, odd, vivid dreams occur ocassionaly, but not enough to be a problem.
Fell asleep quickly, slept 7 hrs., woke up without hangover	Didn't work as well some of the time, woke up mid-way, some hangover effects	Ambien CR is a basically effective treatment for sleeplessness, although I have experienced incidents where contrary to the ads I have woken up midway through the night, I have had a groggy, hard to wake up feeling the next day lasting for several hours. There have also been reports of sleep eating, walking, awake but asleep incidents that I personally have not experienced, although it can affect you differently each  time you take it.
Able to cope more successfully during panic attacks and acute anxiety episodes. Able to sleep better at night (get to sleep).	The only side effects noticed were dry eyes upon waking in the morning.	Took 0.5 mg Xanax as needed for anxiety, prescribed by primary care physician. Was very helpful in getting me through an extremely stressful time of my life.
The flare ups of fibromyalgia seemed to subside considerably. I was able to actually get out of bed during the day. I still, however, have bouts of pain; especially if I try to reduce the amount I take during the day.	Occasional upset stomach, dependency on taking the drug.	Taken as a pill three times a day.
For seasonal allergies, I would highly recommend Zyrtec.  I have had allergy shots to no avail, and have suffered from seasonal allergies my whole life.  While the side effects that I experienced were annoying, they did not negate the benefits of taking the medicine. It made all of my allergy symptoms disappear (itchy eyes, hayfever, nasal congestion etc)  The side effects were extreme cotton mouth, and I mean extreme. It also very much interrupted a restful night sleep.  However, as annoying as these are, it was worth it to have the affect of the drug itself in dealing with seasonal allergies.	Dry Mouth, Lack of sleep	For seasonal allergies, I would highly recommend Zyrtec.  I have had allergy shots to no avail, and have suffered from seasonal allergies my whole life.  While the side effects that I experienced were annoying, they did not negate the benefits of taking the medicine. It made all of my allergy symptoms disappear (itchy eyes, hayfever, nasal congestion etc)  The side effects were extreme cotton mouth, and I mean extreme. It also very much interrupted a restful night sleep.  However, as annoying as these are, it was worth it to have the affect of the drug itself in dealing with seasonal allergies.
Tramadol decreases the severity of pain associated with neck movement. It is not an opiate however it does provide pain relief (for me) along the lines of a mild narcotic without the "euphoric" or mind numbing effects. It allows me greater latitude of neck movement. It is very evident to me when the medication is wearing off as I can no longer turn my neck more than approximately 25 degrees. This drug has been a lifesaver for me and can sometimes even head off my milder migraines.	I've personally experienced no side effects other than an occasional jerky type feeling in my movements. I have heard from others that this medication, although non narcotic can be difficult to cease due to withdrawal symptoms. Personally I have  had no problem with this. This medication has been known to cause seizures and is not to be taken by anyone who has experienced a seizure.	I take two 50 mg. tablets as needed up to three times a day.
Taking this medication twice a day has kept my blood pressure within the "normal" range; even though I am over-weight. I do exercise everyday, although very minimally. I think it is just the medication that is keeping my blook pressure so low.	Sometimes, I feel a bit of light-headedness and dizzy. Sometimes sleepy. Although it is hard to tell if this is just from the medication or some other reason. But overall I am happy with the medication and plan on continuing to take it as long as I need to.	Before I started taking the medication, my blood pressure was extremely high. I didn't exercise much and I am was over weight. At my doctor's orders, I began taking the medication and it took a while to take effect, but when it did, it has and still continues to keep my blood pressure within the normal range. I continue to be over-weight, and I only exercise minimally, but everyday.
My infection cleared up almost before the dosage was done. Has not come back.	Mild upset stomach.	I took this once a day for eight days for a vaginal bacterial infection. I only had slight side effects of an upset stomach after taking the pill; probably because I had not eaten  much on those days. My infection cleared up noticably before the treatement was through. I feel it was very effective.
"I was experiencing significant, rapid hair loss along the temples and top of the scalp (just behind hairline). My crown was relatively unaffected.



Crown: The same, maybe better



Top of scalp: Exceptional. Considerable regrowth, hair came back thicker.



Hairline/Temples: Considerable re-growth. Not back to ""normal"", but still very impressive. 



Propecia has shown the most benefit in clinical studies + real world practice in the crown area.

Its benefits are less pronounced as it nears the hairline. This has been my experience.



Hair loss stopped within 6 months,

significant re-growth @ 9 months. 

Re-growth continued thru 18 months, then has pretty much slowed down / stopped.



I have 3 close friends who also take it, all have had excellent.  results.            

         

For all who take Propecia, wait a full year before making a decision to discontinue."	"Some mild erection problems. Nothing anywhere bad enough where I would even CONSIDER stopping.

However I am 27 now...can't be 18 forever."	"Easy, one tab in the AM.

That's it."
In the beginning of my treatment for type 2 diabetes, I found the benefits of Glucophage or metformin for me to be two-fold.  Number one, metformin did seem to lower my blood sugar over a short amount of time in the beginning.  Number two, as a medication I found necessary in my life, I have found it fairly inexpensive to purchase as a generic drug.	The treatment side effects I experienced were in the beginning.  At the very start of taking Glucophage, I had diarrhea.  It did go away after some time on the drug.	I take 1000 mg caplets; one in the morning with my breakfast and one in the evening with my dinner.
Cleared up the infection.  I had been on a less effective antibiotic a week earlier, which had not worked.	I got a small rash on my arms right after finishing all the pills.	I took 1 400 MG pill per day for 5 days and got plenty of rest and drank plenty of fluids.  (My lymph nodes and thyroid glands were swollen and I generally felt ill.)
Quick decrease in amount of acne; improved skin texture. Overall, the action of the drug was quite quick and effective, and my acne was resolved within the first 2 months of treatment	I experienced dry skin like many other users of this drug, as well as some joint pain. Part of my treatment period was during the winter, during which I was also prone to nose bleeds and fragile skin.	I took two 20mg pills daily following a meal with a moderate amount of fat (more than 10 grams). The time of day I took the medication varied depending on when I would be consuming a moderate-fat meal.
